SBS1,SBS2,SBS5,SBS13,SBS15,SBS17b,SBS40,SBS44
111,0,42,0,0,0,116,0
28,0,47,0,0,0,0,0
48,0,58,0,0,0,0,0
41,0,56,0,0,0,0,0
25,0,0,0,0,0,53,0
38,0,89,0,0,0,0,0
121,0,0,0,0,0,93,0
74,0,88,0,0,0,0,0
60,0,19,0,0,2,0,0
67,0,0,0,0,0,77,0
76,0,38,0,0,0,117,0
444,0,2995,0,1511,0,0,0
103,0,0,0,0,0,76,0
38,0,8,0,0,0,42,0
414,0,430,0,0,0,0,0
74,0,119,0,0,0,0,0
81,0,52,0,0,0,0,0
664,0,478,0,0,0,0,691
354,0,481,0,0,0,0,631
102,0,29,0,0,0,42,0
37,0,8,0,0,0,50,0
75,0,134,0,25,0,0,0
489,0,426,0,0,0,0,517
95,0,39,0,0,0,67,0
464,0,272,0,218,0,0,0
75,0,11,0,0,0,53,0
34,0,22,0,0,0,39,0
53,0,1,0,0,0,64,0
70,0,60,0,0,0,0,0
83,0,96,0,0,0,0,0
92,0,8,0,0,0,110,0
51,0,0,0,0,0,50,0
112,0,28,0,0,0,112,0
73,0,73,0,0,0,0,0
73,0,87,0,0,0,0,0
331,0,720,0,0,0,0,786
69,0,12,0,0,0,57,0
37,0,53,0,0,0,0,0
71,0,58,0,0,0,135,0
36,0,92,0,0,0,0,0
57,0,81,0,0,0,0,0
1082,0,326,0,0,0,0,0
61,0,81,0,0,0,0,0
29,0,72,0,0,0,0,0
55,0,0,0,0,0,102,0
50,0,14,0,0,0,53,0
45,0,62,0,0,0,0,0
94,0,166,0,0,0,0,0
65,0,0,0,0,0,73,0
49,0,84,0,0,0,0,0
657,0,419,0,0,0,0,430
58,0,86,0,0,0,0,0
516,0,221,0,0,0,0,347
36,0,93,0,0,0,0,0
62,0,84,0,0,0,0,0
92,0,34,0,0,0,59,0
88,0,96,0,0,0,0,0
32,0,77,0,0,0,0,0
55,0,72,0,0,0,0,0
61,0,82,0,0,0,0,0
54,0,113,0,0,0,0,0
69,0,4,0,0,0,76,0
90,0,0,0,0,0,85,0
39,0,52,0,0,0,0,0
72,0,75,0,0,0,0,0
551,0,247,0,0,0,0,448
118,0,53,0,0,0,82,0
62,16,79,10,0,0,0,0
65,0,33,0,0,0,124,0
69,0,0,0,0,0,137,0
67,10,1,7,0,0,151,0
60,0,30,0,0,0,45,0
78,0,4,0,0,0,63,0
92,0,93,0,0,0,0,0
45,0,10,0,0,0,71,0
369,0,424,0,504,0,0,0
68,0,49,0,0,0,0,0
46,0,0,0,0,0,54,0
74,0,14,0,0,0,64,0
64,0,86,0,0,0,0,0
79,0,0,0,0,0,122,0
57,0,51,0,0,0,55,0
237,0,249,0,0,0,0,329
421,0,575,0,742,0,0,0
45,8,44,4,0,0,59,0
242,0,464,0,889,0,0,0
83,0,222,0,0,78,0,0
45,0,8,0,0,0,0,0
73,0,0,0,0,0,77,0
80,0,158,0,0,0,0,0
90,0,141,0,0,0,0,0
35,0,33,0,0,0,94,0
55,0,0,0,0,0,98,0
116,0,51,0,0,0,73,0
76,0,0,0,0,0,81,0
69,0,1,0,0,0,127,0
69,0,34,0,0,0,128,0
48,0,45,0,0,0,84,0
93,0,0,0,25,0,256,0
33,0,69,0,0,0,0,0
92,0,0,0,0,0,99,0
359,0,631,0,0,0,0,497
62,0,28,0,0,25,54,0
63,0,30,0,0,0,49,0
63,0,57,0,0,2,115,0
47,0,1,0,0,8,64,0
76,0,30,0,0,0,89,0
60,0,11,0,0,0,69,0
42,0,82,0,0,0,0,0
70,0,73,0,20,28,142,0
59,0,112,0,0,0,0,0
57,0,0,0,0,0,110,0
76,0,0,0,0,0,74,0
65,0,73,0,0,0,0,0
42,10,101,13,0,7,0,0
56,0,76,0,0,0,72,0
70,0,128,0,0,0,0,0
57,0,40,0,0,0,0,0
57,0,0,0,0,15,79,0
533,0,727,0,189,0,0,636
113,0,321,0,144,0,0,0
31,0,71,0,0,0,0,0
34,0,65,0,0,0,0,0
71,0,25,0,0,0,55,0
47,0,0,0,0,0,146,0
79,0,40,0,0,0,73,0
50,0,0,0,0,0,160,0
43,0,46,0,0,0,58,0
65,0,5,0,0,0,84,0
193,0,392,0,646,0,0,0
53,0,102,0,0,0,0,0
41,0,0,0,25,0,139,0
63,0,38,0,0,0,105,0
64,0,32,0,0,0,30,0
71,0,0,0,0,0,49,0
50,0,168,0,0,0,0,0
372,0,354,0,0,0,0,468
73,0,20,0,0,0,42,0
312,0,387,0,213,0,0,300
76,0,16,0,0,0,58,0
31,0,80,0,0,0,0,0
535,0,212,0,0,0,0,238
68,0,60,0,0,0,79,0
88,0,0,0,0,0,111,0
67,0,76,0,0,0,0,0
696,0,500,0,0,0,0,0
